topic,successors,antecedents
24_21,"['25_17', '25_18', '25_0']","['23_0', '23_1']"
24_22,"['25_5', '25_20', '25_7']","['23_0', '23_1']"
24_23,"['25_0', '25_1', '25_11']","['23_0', '23_1']"
25_0,"['26_11', '26_18', '26_5']","['24_0', '24_11', '24_5']"
25_1,"['26_8', '26_5', '26_3']","['24_3', '24_23', '24_7']"
25_2,"['26_14', '26_20', '26_18']","['24_5', '24_8', '24_0']"
25_3,"['26_1', '26_23', '26_5']","['24_13', '24_16', '24_15']"
25_4,"['26_0', '26_2', '26_15']","['24_10', '24_19', '24_6']"
25_5,"['26_12', '26_2', '26_0']","['24_2', '24_6', '24_16']"
25_6,"['26_7', '26_2', '26_12']","['24_4', '24_6', '24_2']"
25_7,"['26_2', '26_0', '26_12']","['24_6', '24_2', '24_10']"
25_8,"['26_4', '26_3', '26_15']","['24_7', '24_12', '24_15']"
25_9,"['26_6', '26_20', '26_14']","['24_8', '24_5', '24_1']"
25_10,"['26_9', '26_18', '26_14']","['24_14', '24_5', '24_8']"
25_11,"['26_0', '26_2', '26_11']","['24_11', '24_0', '24_6']"
25_12,"['26_10', '26_12', '26_8']","['24_17', '24_3', '24_6']"
25_13,"['26_5', '26_18', '26_3']","['24_15', '24_19', '24_12']"
25_14,"['26_3', '26_4', '26_5']","['24_12', '24_7', '24_15']"
25_15,"['26_17', '26_5', '26_0']","['24_19', '24_15', '24_10']"
25_16,"['26_13', '26_22', '26_23']","['24_9', '24_16', '24_2']"
25_17,"['26_19', '26_16', '26_24']","['24_21', '24_5', '24_20']"
25_18,"['26_24', '26_18', '26_5']","['24_20', '24_5', '24_0']"
25_19,"['26_21', '26_2', '26_8']","['24_18', '24_6', '24_3']"
25_20,"['26_23', '26_1', '26_5']","['24_16', '24_15', '24_2']"
25_21,"['26_22', '26_13', '26_8']","['24_9', '24_16', '24_3']"
26_0,"['27_6', '27_0', '27_7']","['25_4', '25_11', '25_7']"
26_1,"['27_5', '27_21', '27_4']","['25_3', '25_20', '25_13']"
26_2,"['27_1', '27_6', '27_25']","['25_7', '25_4', '25_5']"
26_3,"['27_4', '27_3', '27_9']","['25_14', '25_8', '25_13']"
26_4,"['27_3', '27_4', '27_9']","['25_8', '25_14', '25_13']"
26_5,"['27_20', '27_4', '27_10']","['25_13', '25_0', '25_15']"
26_6,"['27_15', '27_17', '27_8']","['25_9', '25_2', '25_1']"
26_7,"['27_2', '27_1', '27_12']","['25_6', '25_7', '25_5']"
26_8,"['27_10', '27_20', '27_11']","['25_1', '25_20', '25_8']"
26_9,"['27_14', '27_15', '27_13']","['25_10', '25_2', '25_9']"
26_10,"['27_18', '27_10', '27_12']","['25_12', '25_1', '25_7']"
26_11,"['27_16', '27_25', '27_9']","['25_0', '25_11', '25_18']"
26_12,"['27_12', '27_1', '27_25']","['25_5', '25_7', '25_20']"
26_13,"['27_11', '27_21', '27_12']","['25_16', '25_21', '25_20']"
