relation,similarity,window1,window2,topic_id
continued,0.0909684487085169,11,12,36
continued,0.11930745017580173,11,12,37
continued,0.1086436666353327,11,12,38
continued,0.0969839971029549,11,12,39
continued,0.1835153925647451,11,12,40
continued,0.13087573056456772,11,12,41
continued,0.1838884024874744,11,12,42
continued,0.09018407624186711,11,12,43
continued,-0.030981889072460637,11,12,44
continued,0.03407919056034189,11,12,45
continued,0.0978824624967627,11,12,46
continued,0.10678100333050486,11,12,47
continued,0.11065968840466926,11,12,48
continued,0.1340425008189577,11,12,49
continued,0.10608586078886739,12,13,0
continued,0.09332649939124295,12,13,1
continued,0.026297055461127622,12,13,2
continued,0.038373703109499765,12,13,3
continued,0.0626063163089156,12,13,4
continued,0.08811049669265793,12,13,5
continued,0.16616637125259923,12,13,6
continued,0.19386118446713393,12,13,7
continued,0.04550522566996385,12,13,8
continued,0.06826707338439678,12,13,9
continued,0.12147656234844317,12,13,10
continued,0.05299137204006537,12,13,11
continued,0.06806388802458077,12,13,12
continued,0.16113678471952225,12,13,13
continued,0.0478514022483271,12,13,14
continued,0.0879780249512521,12,13,15
continued,0.07098965895056826,12,13,16
continued,0.22360851796474532,12,13,17
continued,0.11193909440038792,12,13,18
continued,0.0774355135213533,12,13,19
continued,0.16626717497738153,12,13,20
continued,0.15910420774121647,12,13,21
continued,0.10343053812762495,12,13,22
continued,0.16609886564314102,12,13,23
continued,0.021145619919772037,12,13,24
continued,0.05936580523258363,12,13,25
continued,0.16292415023702278,12,13,26
continued,0.11263507452310481,12,13,27
continued,0.07430350913764718,12,13,28
continued,0.058749845215783934,12,13,29
continued,0.13295899453722246,12,13,30
continued,0.09480475483184028,12,13,31
continued,0.22076957375856973,12,13,32
continued,0.0882523083680279,12,13,33
continued,0.10766122235314424,12,13,34
continued,0.1814643751052575,12,13,35
continued,0.09518438698712202,12,13,36
continued,0.14654258501607517,12,13,37
continued,0.04096700035885237,12,13,38
continued,0.08370484349519797,12,13,39
continued,0.08303543288684408,12,13,40
continued,0.024935921800787453,12,13,41
continued,0.1327566462488409,12,13,42
continued,0.08993765944605127,12,13,43
continued,0.06867169285191839,12,13,44
continued,0.04431644906413528,12,13,45
continued,0.047509197221401914,12,13,46
continued,0.18797154498679364,12,13,47
continued,0.06618514993219264,12,13,48
continued,0.17345627865109792,12,13,49
continued,-0.03979815881730096,13,14,0
continued,0.16277371089871606,13,14,1
continued,0.19874492434734434,13,14,2
continued,0.048145962438729935,13,14,3
continued,0.170765144705732,13,14,4
continued,0.17547082835016659,13,14,5
continued,0.07830314047427316,13,14,6
continued,0.10750336727422458,13,14,7
continued,0.13597747945893657,13,14,8
continued,0.16528467309347078,13,14,9
continued,-0.013377289481682549,13,14,10
continued,0.12031309944147792,13,14,11
continued,0.016812838083653258,13,14,12
continued,0.11274358457408719,13,14,13
continued,0.031491256633032594,13,14,14
continued,0.14961172398034905,13,14,15
continued,0.11561209895654274,13,14,16
continued,0.04553542078991983,13,14,17
continued,0.10261919115036143,13,14,18
continued,0.03210435165718121,13,14,19
continued,0.10089273365708457,13,14,20
continued,0.09312386529100329,13,14,21
continued,0.11476830567743283,13,14,22
continued,0.10964031583755325,13,14,23
continued,0.055644451693478834,13,14,24
continued,0.18532425787183407,13,14,25
continued,0.1398759294703574,13,14,26
continued,0.020669296193860334,13,14,27
continued,0.056850598985788404,13,14,28
continued,0.1209836222252325,13,14,29
continued,0.10821771750688859,13,14,30
continued,0.06926192188540134,13,14,31
continued,0.13903053921427366,13,14,32
continued,0.02144238659106042,13,14,33
continued,0.10332437747094851,13,14,34
continued,0.16391268112589955,13,14,35
continued,0.14415916329126774,13,14,36
continued,0.06437672071909678,13,14,37
continued,0.19976354919781633,13,14,38
continued,0.08456781913010818,13,14,39
continued,0.10266529565400463,13,14,40
continued,0.12044009848540556,13,14,41
continued,0.03700083872608805,13,14,42
continued,0.1839957881733496,13,14,43
continued,0.08836545365834926,13,14,44
continued,0.13988571144530734,13,14,45
continued,0.03889573466009137,13,14,46
continued,0.09271859497495767,13,14,47
continued,0.11618068745830992,13,14,48
continued,0.05486938920957131,13,14,49
continued,0.17945724473488847,14,15,0
continued,-0.027753195127575975,14,15,1
continued,-0.04684591690283374,14,15,2
continued,0.10946806429799462,14,15,3
continued,0.1361339394433204,14,15,4
continued,0.14535329852273923,14,15,5
continued,0.07898726834809658,14,15,6
continued,0.047561191645629074,14,15,7
continued,0.12766778623870875,14,15,8
continued,0.10404145787271496,14,15,9
continued,0.10147524418574243,14,15,10
continued,0.10649865832772751,14,15,11
continued,0.0797900151434612,14,15,12
continued,0.11123519089272968,14,15,13
continued,-0.016744615460409205,14,15,14
continued,0.06606307652680307,14,15,15
continued,0.11752447420048599,14,15,16
continued,0.16123290058229942,14,15,17
continued,0.11255247066542808,14,15,18
continued,0.06493194077490326,14,15,19
continued,0.1102354182959914,14,15,20
continued,0.05574184987816424,14,15,21
continued,0.16331898653477234,14,15,22
continued,0.04840766398309648,14,15,23
continued,0.05830521725082995,14,15,24
continued,0.057445358173871745,14,15,25
continued,0.1193769899723282,14,15,26
continued,0.11623709382847264,14,15,27
continued,0.11551633511860941,14,15,28
continued,0.06555217292893742,14,15,29
continued,0.11954280703055459,14,15,30
continued,0.02501866942531094,14,15,31
continued,0.10256140601835342,14,15,32
continued,0.11855899031984392,14,15,33
continued,-0.018581782030669798,14,15,34
continued,0.12360937924866958,14,15,35
continued,0.15918695124167445,14,15,36
continued,-0.010560993514043994,14,15,37
continued,0.13592869768821675,14,15,38
continued,0.14924173901196963,14,15,39
continued,0.15612882689649438,14,15,40
continued,0.11585674680108907,14,15,41
continued,0.07784114135590922,14,15,42
continued,0.030464930626434142,14,15,43
continued,0.05420567556282508,14,15,44
continued,0.20067244064873177,14,15,45
continued,0.15150304412311774,14,15,46
continued,0.07269894197403037,14,15,47
continued,0.18324118212643367,14,15,48
continued,0.11383834041949442,14,15,49
continued,0.05910347676665402,15,16,0
continued,0.09494079311334397,15,16,1
continued,0.09803446570071084,15,16,2
continued,0.13460223250204448,15,16,3
continued,0.1753104011493799,15,16,4
continued,0.1230753599934495,15,16,5
continued,0.0672467260574546,15,16,6
continued,0.07023638590330143,15,16,7
continued,0.14362917219796867,15,16,8
continued,0.17750315990462912,15,16,9
continued,0.14929501802688108,15,16,10
continued,0.0305217311152458,15,16,11
continued,-0.04708075482207631,15,16,12
continued,0.21197099279277629,15,16,13
continued,0.04432286265802751,15,16,14
continued,0.11793393337607087,15,16,15
continued,0.03977956318233652,15,16,16
continued,0.18324429436510956,15,16,17
continued,0.12392308529551736,15,16,18
continued,0.027906328633196944,15,16,19
continued,0.07894408474997162,15,16,20
continued,0.0996197080979934,15,16,21
continued,0.07033189846100381,15,16,22
