topic,timepoint1,timepoint2,similarity
2,21,22,0.8825748375766407
2,22,23,0.9724412169779025
2,23,24,0.7440914263059615
2,24,25,0.8905846292588748
2,25,26,0.9005900392061859
2,26,27,0.8904665759740723
2,27,28,0.9265182792972126
2,28,29,0.9359471200180662
2,29,30,0.7857862990512976
2,30,31,0.9643499602580454
2,31,32,0.8394900931035947
2,32,33,0.9890143364913774
2,33,34,0.9799607870500545
2,34,35,0.9553058113213715
2,35,36,0.868252504448317
2,36,37,0.9626273567784289
2,37,38,0.9220017176763584
2,38,39,0.952808460742233
2,39,40,0.9524847316850749
2,40,41,0.9492574752014339
2,41,42,0.9796746001341354
2,42,43,0.9092007122227461
2,43,44,0.9999999954547097
2,44,45,0.992241365812829
2,45,46,0.9999997178079378
2,46,47,0.9758371582277554
2,47,48,0.9869501247454617
2,48,49,0.9512936793504857
2,49,50,0.9661930453487986
2,50,51,0.9580257066341531
2,51,52,0.9406695347838766
2,52,53,0.9406690503249853
2,53,54,0.9918412915431717
2,54,55,0.9612784336006811
2,55,56,0.9892240276860894
2,56,57,0.9842284615192876
2,57,58,0.9201847465008874
2,58,59,0.9395737385306435
2,59,60,0.9916482821156515
2,60,61,0.9840033507319457
2,61,62,0.9999999953095376
2,62,63,0.9921513173886877
2,63,64,0.9999999505026853
2,64,65,0.9830144993404976
2,65,66,0.9830732763938509
2,66,67,0.9525485653195026
2,67,68,0.9655158119380176
2,68,69,0.964071461388991
2,69,70,0.9013308463161264
2,70,71,0.9494052936728227
2,71,72,0.8838017582567487
2,72,73,0.9668217423721043
2,73,74,0.868257411279327
2,74,75,0.9559209983301794
2,75,76,0.9714595461892184
2,76,77,0.9692518426309178
2,77,78,0.9846344240289093
2,78,79,0.9177011305727915
2,79,80,0.8585763059999272
2,80,81,0.7638669872526381
2,81,82,0.6369594558885758
2,82,83,0.9920723182450448
2,83,84,0.9851659341834468
2,84,85,0.863085738243586
2,85,86,0.9352770306984671
2,86,87,0.9239800353528121
2,87,88,0.8680556549066943
2,88,89,0.9056976510368943
2,89,90,0.7264834756730892
2,90,91,0.826823747936967
2,91,92,0.846128677228179
2,92,93,0.6754876698114582
2,93,94,0.973684922691731
2,94,95,0.999999910226476
2,95,96,0.8170068393140509
2,96,97,0.81726237445001
2,97,98,0.9914123249149189
2,98,99,0.9839587055559966
2,99,100,0.9839656471485194
2,100,101,0.9914668801899387
2,101,102,0.9918492308019162
2,102,103,0.9854627436393071
2,103,104,0.9926322063861471
2,104,105,0.9999999824003756
2,105,106,0.9999997271572311
2,106,107,0.9872326997195717
2,107,108,0.9935443844426344
2,108,109,0.9926720530138511
2,109,110,0.9932216014256321
2,110,111,0.9704429183915365
2,111,112,0.9647860808719803
2,112,113,0.9662142941859021
2,113,114,0.965169362766558
2,114,115,0.9699341461750404
2,115,116,0.9793572628676323
2,116,117,0.9946952049256407
2,117,118,0.957646474890653
2,118,119,0.8371275441226301
2,119,120,0.883151753564498
2,120,121,0.9603080571724192
2,121,122,0.7992214868007839
2,122,123,0.7623485077196998
2,123,124,0.6477503783951626
2,124,125,0.6058831583535723
2,125,126,0.8891923265242593
2,126,127,0.8251451627746058
2,127,128,0.9265157005696154
2,128,129,0.7086971014288789
2,129,130,0.5799417818914215
2,130,131,0.9493978102681706
2,131,132,0.9876067043575969
2,132,133,0.8849797266348718
2,133,134,0.9662189406317244
2,134,135,0.96621347455221
2,135,136,0.9829939536779296
2,136,137,0.9484154129776592
2,137,138,0.9921115135750587
2,138,139,0.9125266235515417
2,139,140,0.9773426572890713
2,140,141,0.7843846655919541
2,141,142,0.7693736959845656
2,142,143,0.7245233285512098
2,143,144,0.8660477622966969
2,144,145,0.8268099056421955
2,145,146,0.8087816338395268
2,146,147,0.978204180465126
2,147,148,0.9771959016909404
2,148,149,0.9309807336532414
2,149,150,0.8719460461654358
2,150,151,0.9481207068932178
2,151,152,0.8670435398702032
2,152,153,0.6332020656253166
2,153,154,0.9334467838362299
2,154,155,0.8887749170838611
2,155,156,0.8710676452797504
2,156,157,0.7133385512894109
2,157,158,0.7031871117531042
2,158,159,0.7390193373977939
2,159,160,0.9096018657966332
2,160,161,0.6972340652680281
2,161,162,0.845665017648429
2,162,163,0.8663678987210099
2,163,164,0.9544676853184205
2,164,165,0.7932569112910973
2,165,166,0.8795642972567255
2,166,167,0.9100842510322119
2,167,168,0.9085267694619014
2,168,169,0.9018996801004779
2,169,170,0.94495064388499
2,170,171,0.9821361991045817
2,171,172,0.7033645239419161
2,172,173,0.8146439031787072
2,173,174,0.965274288592976
2,174,175,0.8674948127776841
2,175,176,0.7931709739101392
2,176,177,0.9663888945468625
2,177,178,0.9461286250765036
2,178,179,0.9066561502089593
2,179,180,0.9215390855117493
2,180,181,0.5491885271976208
2,181,182,0.5953274082169441
2,182,183,0.7424909238061425
2,183,184,0.916691357475981
2,184,185,0.9225791505854355
2,185,186,0.9695621996999414
2,186,187,0.7650141793308285
2,187,188,0.8668544641829791
2,188,189,0.8001341293691051
2,189,190,0.9035860969128585
2,190,191,0.8760657178426001
2,191,192,0.8040819802949716
2,192,193,0.8558742526900347
2,193,194,0.7375873814800998
