year,cv,npmi,umass,diversity,tq
1890,0.4050762055932531,-0.4960612169105732,-14.096229449660639,0.8794285714285713,0.35623558880458084
1891,0.3767830064216714,-0.4581461811545754,-12.681655615033728,0.8577959183673469,0.3232029250186876
1892,0.3758538477361932,-0.42345425373876894,-11.638680506199044,0.8240816326530613,0.3097342524813772
1893,0.46747780284416507,-0.47428714000774336,-16.647902230440746,0.8589387755102041,0.4015348115531678
1894,0.4053731636746335,-0.43288127115500763,-13.708103520551006,0.853061224489796,0.3458081273795854
1895,0.42130757265063346,-0.2996258556541231,-9.763616710441768,0.7167346938775511,0.30196575411204585
1896,0.43652694831240707,-0.49218102228045985,-15.523471022779104,0.8680000000000001,0.37890539113516936
1897,0.4158266694774164,-0.5045915329284851,-14.129510077556693,0.8564081632653061,0.35611735424388374
1898,0.3957931627545311,-0.4261514783559963,-12.303517115497755,0.8769795918367348,0.347102526324239
1899,0.38664737975328656,-0.4481292730161649,-12.326125442464113,0.8400000000000002,0.3247837989927608
1900,0.40308818609560104,-0.43932755306986965,-13.562024538501289,0.849142857142857,0.3422794540217503
1901,0.40375668544660714,-0.439111666207045,-13.05982007097883,0.8652244897959186,0.34934017216723184
1902,0.4441129419704288,-0.5130431542519666,-14.741851645565362,0.8894693877551021,0.39502486658855446
1903,0.36810559048968794,-0.44448578336975436,-11.169900365173225,0.8453061224489795,0.3111619093486301
1904,0.3765672552785033,-0.4497013397191364,-10.753229714415259,0.8286530612244897,0.3120436088434356
1905,0.37226488466686547,-0.4342689478886511,-10.3220927695739,0.8837551020408163,0.3289909911349784
1906,0.3756833770507714,-0.45044988825197463,-10.697031205875376,0.8788571428571429,0.3301720193737637
1907,0.3739513637966988,-0.44174523872385957,-10.454695329197657,0.9180408163265306,0.34330261528634076
1908,0.35632059068608124,-0.44584577512838147,-9.951092626745506,0.8446530612244899,0.300967277700317
1909,0.39375591725471515,-0.46193112750078247,-13.142506701977991,0.8417142857142856,0.3314299806378259
1910,0.5077106545273546,-0.5472891727155659,-18.00659765718148,0.8968979591836735,0.4553646499013915
1911,0.42833294823683915,-0.4823564357845253,-14.738578690051183,0.9222857142857143,0.39504535911671906
1912,0.393077833465419,-0.46265344793098223,-12.66101369216837,0.9231836734693877,0.36288303825799373
1913,0.5288663520861081,-0.6071867882568538,-20.004728782196594,0.9721632653061225,0.5141444397545684
1914,0.5304190491609573,-0.6060074675881673,-19.562441179639542,0.9637551020408164,0.5111940648485112
1915,0.4414815589864871,-0.5661903548783193,-16.62921477512041,0.9219591836734695,0.4070279777300723
1916,0.5448215789168855,-0.5908103169144802,-20.14889466373298,0.956408163265306,0.5210718055992024
1917,0.5598031274274835,-0.598574107768651,-20.08445956496234,0.9664489795918366,0.5410211612746103
1918,0.5003951886371224,-0.5787514013257143,-17.657908186913456,0.9535510204081632,0.47715234273226337
1919,0.4398076512893877,-0.5731245134420321,-16.3513658124783,0.9506938775510204,0.41812244138091503
1920,0.518361634677852,-0.6147166067891223,-19.957418305312643,0.9706122448979592,0.5031281499036457
1921,0.5218963634528186,-0.5732476103424659,-18.649332765095853,0.9464489795918368,0.4939482806426106
1922,0.48898383261257805,-0.5246749032690228,-17.279989309584238,0.9211428571428572,0.45042396466941476
1923,0.4942300985305457,-0.561176598694425,-17.846923618889747,0.928408163265306,0.45884725800717513
1924,0.46026534133287866,-0.5462478182636439,-16.400827161329623,0.9248979591836733,0.4256984748817563
1925,0.43784574218272276,-0.465118221833064,-14.751178481771147,0.8632653061224492,0.37797703865977916
1926,0.41071087642257703,-0.4875006222025488,-12.879305122482402,0.8811428571428571,0.36189495511063646
1927,0.3855059431213548,-0.47624972858849923,-13.440469687257313,0.8955918367346939,0.34525597567219457
1928,0.49050293390395394,-0.5529032997322363,-17.8393661999991,0.9288163265306122,0.4555871332211582
1929,0.40696181730254244,-0.4918870406687059,-14.531900616567322,0.8699591836734695,0.3540401703667914
1930,0.46648259942530274,-0.5436005616396696,-17.366872888530153,0.9268571428571427,0.4323627292959091
